name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 1043 more",28 years old,1 Lakh+ Employees (India)
HDFC Bank,4.0,(40k Reviews),Public,"Mumbai,Maharashtra + 1220 more",28 years old,1 Lakh+ Employees (India)
TCS,3.9,(49.9k Reviews),Public,"Mumbai,Maharashtra + 276 more",54 years old,1 Lakh+ Employees (India)
Accenture,4.1,(32.5k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(29.7k Reviews),Private,Teaneck. New Jersey. + 98 more,28 years old,1 Lakh+ Employees (India)
